LOCATIONS,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,B.O.D. (mg/l)
R MANJESWAR AT BAJRAKKARA BR.,29,7.3,6.9,96,0.2,89,825,1.9
"MEENACHIL AT KIDANGOOR, KERALA",27.5,6.8,6.6,49,0.4,1719,2950,0.5
R MOGRAL AT MOGRAL BR.,30,5.6,7.2,24360,0.3,92,447,2.1
"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",27.8,6.9,6.8,59,0.5,1916,3375,0.6
R NEELASWARAM AT NAMBIARKAL DAM,30.2,7.1,6.8,14410,0.1,65,468,1.8
"R NEELESWARAM AT HOSDURG, KERALA",30.8,6.2,7.2,22757,0.1,98,542,1.5
"R NEYYAR AT AMARAVILA, KERALA",25.3,6.7,7.1,66,0,222,626,0.6
R NEYYAR AT ARUVIPURAM,25.3,7.2,7,59,0,165,433,0.6
R PALLICKAL AT NELLIMUKAL,25.8,6,7.6,120,1.1,212,523,1.3
"PAMBA AT CHENGANNUR, KERALA",27.2,5.2,6.8,55,0.7,171,313,0.6
"PAMBA AT THAKAZHY, KERALA",28.1,4.8,6.8,86,0.8,208,332,0.7
"PAMBA DOWN, KERALA",28.3,3.9,6.9,62,0.7,155,284,0.5
"PERIYAR NEAR ALWAYENANELOOR, KERALA",28.1,5,6.9,3185,0.4,290,667,1.8
"PERIYAR AT KALADY, KERALA",27.7,7,7,36,0.2,276,541,1.1
"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",28,6.3,6.9,64,0.3,381,815,1.2
RIVER PERIYAR AT MUPPATHADAM,28.2,6.2,6.9,86,0.2,372,1007,1.3
RIVER PERIYAR AT PATHALAM,28,5.7,6.8,2640,0.5,385,759,1.9
R PERIYAR AT KALAMASSERY,28.1,5.7,6.9,53,0.4,574,1205,3.1
R PERIYAR AT PURAPPALLIKAVU,28.1,6.6,7.1,2007,0.2,356,785,1.3
"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",28.1,6.6,7,46,0.3,228,472,1.3
R PERUVAMBA AT CHANDAPPURA,27.3,6.5,6.5,43,0.4,87,188,0.9
R PULLUR AT PULLUR BR.,28.3,6.7,6.3,54,0.1,136,610,0.9
R PUZHACKAL AT PUZHACKAL BRIDGE,29.1,4.3,7.2,113,0.4,188,796,1.8
R RAMAPURAM AT RAMAPURAM BRIDGE,28.7,4.6,6.7,12561,0.6,72,171,1.5
R SHRIYA AT ANGADIMOGARU,28.5,7.7,6.9,61,0,88,554,1.6
R THALLASSERY AT PATHIPPALAM,26.6,5.8,6.5,61,0.4,70,151,1
R THIRUR AT THALAKKADATHUR BRIDGE,31,4.5,6.9,1614,0.6,131,230,2.1
R UPPALA AT  UPPALA BR.,30.5,6.9,7.2,20950,0.2,113,643,1.3
"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",28.8,6.6,7,14487,0.3,55,103,0.9
"VAMANAPURAM, KERALA",25.3,6.9,7.5,54,0,319,1633,0.6
"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",25.9,5.5,7.6,569,0.9,18,141,1.3
"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",26.5,5.4,7.8,310,2.4,7,107,0.8
"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",18.9,7.1,7.8,516,0.5,2,1238,0.7
"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",20.5,6.9,8,505,0.7,2,1563,0.9
"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",27.1,7.3,7.3,109,3.4,18,65,2.4
"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",26.3,7.5,7.5,83,2,22,74,2.1
KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,29.1,6.4,7.2,102,0,137,1223,1
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,28.4,6.5,7.1,92,0,155,1342,1
"BUDHABALANGA, D/S OF BARIPADA TOWN",24.7,7.7,7.9,232,0.8,30790,40500,1.3
BUDHABALANGA AT BALASORE D/S,24.4,7.5,7.8,519,0.7,38700,53556,2.1
"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",22.7,7.3,7.2,103,1.7,4871,13810,0.7
"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",24.8,7.4,7.9,196,0.6,5323,15213,0.7
"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",24,7.4,7.8,244,1,20880,12473,1.9
"NAGAVALLI AT RAYAGADA D/S, ODISHA",22.8,7.5,8,243,0.9,8780,30319,1.7
"RUSHIKULYA AT GANJAM U/S, ODISHA",26.8,7.2,8,296,0.7,1468,4314,1.5
"RUSHIKULYA AT GANJAM D/S, ODISHA",27.4,6.6,7.8,25034,0.9,1671,4224,1.5
VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),25.3,7.5,7.9,194,1,2906,8559,1
VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),27.1,7.4,7.9,170,0.9,4948,16709,0.8
"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",29.3,6.5,7.4,1063,0.6,177,374,2
"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",22.8,6.8,6.6,63,0.1,11,36,2.9
"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",24.5,6.6,6.4,101,0.2,13,41,2.5
"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",25.5,6.6,6.5,136,0.2,13,45,2.5
"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",29,6.7,6.9,226,0.2,12,38,2.2
"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",23.8,6.7,6.3,72,0.2,9,32,2.7
"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",22.8,6.7,6.4,61,0.1,10,34,4.6
"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",29,6.6,7.2,1300,0.2,21,60,2.7
"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",29,6.7,7,461,0.1,17,51,2.5
"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",23,6.6,6.2,69,0.1,11,38,2.5
"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",29,6.8,6.9,241,0.1,14,48,2.5
"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",25.7,6.5,6.6,159,0.2,11,41,2.4
"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",25.7,6.6,6.7,170,0.2,10,34,2.5
"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",24.3,0.9,7.6,2039,0.9,272521616,511090873,104.5
"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",22.7,5.8,7.2,640,4.3,1450,4073,6
"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",19,4.8,7.6,1090,3.6,30500,52500,22
"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",23,5.5,7.3,705,5,2020,5433,10
"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",24,5.1,7.4,1375,5.9,27333,50333,23.7
"D/S CHHATBIR, PUNJAB",24.7,5.5,7.4,745,6.1,12167,29333,10
"U/S DHAKANSU NALLAH, PUNJAB",25,5,7.6,975,6.1,11167,21667,16.3
"D/S DHAKANSU NALLAH, PUNJAB",22,4.9,7.7,1385,7.7,42500,72000,27.5
"D/S JHARMAL NADI, PUNJAB",24.3,5,7.3,1067,6.2,21467,39533,19.3
"U/S JHARMAL NADI, PUNJAB",23.3,5.3,7.2,970,5.9,3167,7133,13.3
"GHAGGER AT MOONAK, PUNJAB",19.5,4.9,7.7,1418,4.2,28000,49500,21
"D/S SARDULGARH, PUNJAB",21.5,4.1,7.5,1015,6.1,35000,57500,23
"U/S SARDULGARH, PUNJAB",20,4.8,7.4,854,4.7,20500,38000,17
"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",32.6,4,6.8,370,0.8,4,9,3
"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",23.6,7.8,7.8,376,0.4,9,17,1.3
MARKANDA U/S KALA AMB,23.9,7.7,7.7,354,0.3,12,22,1.3
MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,24.5,7.6,7.9,344,0.4,12,22,1.6
"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",18.1,4.4,7.1,694,1.2,92,224,41
"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",25.1,5.9,8,401,0.7,4,15,0.9
"KODRA DAM, MOUNT ABU, RAJASTHAN",22.3,6,7.2,106,0.4,4,15,0.8
"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",23.7,5.6,7.9,326,0.8,4,4,1.1
"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",23.9,6.2,8.1,592,0.7,4,6,1
"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",25.5,7.2,7.5,119,3.8,33,74,2.3
"BUGI RIVER AT DALU, SOUTH GARO HILLS",25.1,7.2,7.5,120,4.1,31,67,2.3
"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",25.2,7.5,7.3,82,2.8,30,70,1.8
"GANOL RIVER TURA, MEGHALAYA",23.2,7.5,7.5,111,3,293,506,2.4
"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",20.1,5.3,3.3,831,3.2,18,36,7.7
"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",18.3,7.2,7.2,56,2.6,21,42,1.7
"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",19.3,7.5,7.2,66,2.5,22,44,1.6
"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",24,7.8,7,74,4.3,28,108,2.3
LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),20.5,6.7,2.7,1350,1.1,7,16,3.3
LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),21.2,7.3,6.6,274,2.4,176,386,2.5
"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",26.3,7.4,7.3,67,2.5,25,55,1.8
"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",25.5,7.2,7.4,82,2.8,26,61,2
"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",20,7.3,7.1,55,2.5,24,53,1.9
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",20.3,7.3,7.1,57,2.4,24,50,2
"MYNTDU RIVER JOWAI, MEGHALAYA",19.4,6.6,7.1,114,2.8,2142,3108,2.6
"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",21,7.3,5.6,56,2.1,16,34,1.8
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",19.2,5.1,7,105,4.7,351,780,3.6
